DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170150,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.35,762385
59170151,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.16,729644
59170151,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.36,729644
59170151,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.44,729644
59170152,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.25,775374
59170152,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.28,775374
59170152,Topaz Park,"Topaz Ave & Finlayson Street & Blanshard Street, Victoria, BC",0.35,775374
59170152,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.21,775374
59170152,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.48,775374
59170153,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.18,878368
59170153,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.38,878368
59170153,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.43,878368
59170154,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.05,1113701
59170154,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.45,1113701
59170154,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.49,1113701
59170155,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.41,938330
59170155,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.43,938330
59170155,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.5,938330
59170156,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.41,948668
59170156,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.47,948668
59170157,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.12,955186
59170157,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.34,955186
59170162,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.17,740379
59170162,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.36,740379
59170162,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.36,740379
59170162,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43,740379
59170162,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.29,740379
59170163,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.27,784258
59170163,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.38,784258
59170163,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.39,784258
59170164,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.22,572359
59170164,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43,572359
59170165,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.33,1139310
59170167,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.16,1482694
59170167,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.17,1482694
59170167,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.39,1482694
59170168,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.27,1337071
59170168,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.22,1337071
59170168,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.49,1337071
59170169,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.18,1571427
59170169,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.37,1571427
59170169,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.47,1571427
59170169,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48,1571427
59170170,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.34,775090
59170170,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.34,775090
59170170,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.45,775090
59170170,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.19,775090
59170170,The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4",0.41,775090
59170171,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.25,1738272
59170171,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.34,1738272
59170171,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.38,1738272
59170172,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.15,975298
59170172,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.19,975298
59170172,Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3",0.35,975298
59170174,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.3,1179242
59170174,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.43,1179242
59170174,Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2",0.42,1179242
59170174,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.47,1179242
