DAUID,DA_address,Target_name,Target_address,Distance (km)
59170385,"3121 Steele St, Victoria, BC V8Z 3N7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.62
59170385,"550 Sumas St, Victoria, BC V8T 4S3",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.9
59170386,"254 Gorge Rd E, Victoria, BC V9A 6W4",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.99
59170386,"491 Cecelia Rd, Victoria, BC V8T 4T4",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.9
59170387,"3052D Washington Ave, Victoria, BC V9A 1P6",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.0
59170387,"3134 Washington Ave, Victoria, BC V9A 1P7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.0
59170388,"3052 Albany St, Victoria, BC V9A 1R5",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.14
59170388,"3165 Balfour Ave, Victoria, BC V9A 1R9",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.88
59170389,"21 Gorge Rd E, Victoria, BC V9A 1K7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.55
59170389,"2967 Irma St, Victoria, BC V9A 1S5",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.34
59170389,"3064 Irma St, Victoria, BC V9A 1S6",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.17
59170390,"141 Gorge Rd E, Victoria, BC V9A 6Z3",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.43
59170390,"21 Lotus St, Victoria, BC V9A 1P3",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.65
59170554,"29 Paddon Ave, Victoria, BC V8V 2M6",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.55
59170555,"647 Niagara St, Victoria, BC V8V 1J1",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.43
59170555,"671 Beacon St, Victoria, BC V8V 1K1",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",1.36
59170556,"1002 Carberry Gardens, Victoria, BC V8S 3R7",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.39
59170556,"744 Pemberton Rd, Victoria, BC V8S 3R4",Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",1.21
59170557,"1475 Fort St, Victoria, BC V8S 1Z4",Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",1.49
59170557,"905 Pemberton Rd, Victoria, BC V8S 3R5",Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",1.35
59170558,"1550 Shasta Pl, Victoria, BC V8S 1X9",Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",1.1
59170598,"1746 Adanac St, Victoria, BC V8R 2C5",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.25
59170600,"1735 Denman St, Victoria, BC V8R 1Y3",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.03
59170601,"1626 Gladstone Ave, Victoria, BC V8R 1S7",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.18
59170601,"2206 Lydia St, Victoria, BC V8R 4K5",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.24
59170601,"2320 Shakespeare St, Victoria, BC V8R 4G3",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.39
59170610,"440 Simcoe St, Victoria, BC V8V 1L3",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.95
59170611,"840 Humboldt St, Victoria, BC V8V 5B1",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.43
59170611,"950 Humboldt St, Victoria, BC V8V 2Z8",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.62
59170612,"1528 Coldharbour Rd, Victoria, BC V8R 1H5",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.35
59170722,"19-103 Wilson St, Victoria, BC V9A 6X1",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.5
59170723,"103 Tyee Rd, Victoria, BC",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.28
59170806,"827 Princess Ave, Victoria, BC V8T 1K7",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.73
59170808,"933 Pembroke St, Victoria, BC V8T 1J1",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.7
59170814,"755 Humboldt St, Victoria, BC V8W 1B1",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.41
59170814,"755 Humboldt St, Victoria, BC V8W 1B1",Cambria College,"210-702 Fort St, Victoria, BC V8W 3L7",0.44
59170814,"755 Humboldt St, Victoria, BC V8W 1B1",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.44
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.19
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",Cambria College,"210-702 Fort St, Victoria, BC V8W 3L7",0.28
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",Excel Career College,"1207 Douglas St, Victoria, BC V8W 2E7",0.36
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",0.43
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.46
59170814,"850 Blanshard St, Victoria, BC V8W 2H2",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.47
59170816,"1116 Catherine St, Victoria, BC V9A 3V7",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.58
59170816,"542 Northcott Ave, Victoria, BC V9A 2V4",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.88
59170817,"787 Tyee Rd #309, Victoria, BC V9A 7R5",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.27
59170819,"70 Saghalie Rd, Victoria, BC V9A 0B8",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",0.81
59170820,"231 Russell St, Victoria, BC V9A 3X1",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.55
59170820,"310 Robert St, Victoria, BC V9A 3Z4",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",1.53
