DAUID,Target_name,Target_address,Distance (km)
59170294,Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",0.26
59170294,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",0.61
59170295,Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",0.93
59170296,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.71
59170297,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.49
59170298,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.32
59170299,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.45
59170300,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.82
59170301,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.98
59170302,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.23
59170302,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",1.08
59170303,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.76
59170304,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.76
59170305,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.72
59170308,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.43
59170309,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.54
59170310,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.31
59170311,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.5
59170312,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.28
59170312,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.23
59170313,Ogden Point Pier,"185 Dallas Rd, Victoria, BC V8V 1A1",0.41
59170313,Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",0.44
59170371,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.41
59170372,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.45
59170373,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.55
59170375,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.56
59170376,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.25
59170376,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.29
59170376,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.4
59170378,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.16
59170378,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.36
59170378,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.2
59170378,Lime Bay Park,"10 Cooperage Pl, Victoria, BC V9A 7J9",0.5
59170383,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.82
59170383,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.4
59170383,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.49
59170384,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.54
59170385,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.52
59170385,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.55
59170386,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.2
59170386,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.43
59170387,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.0
