DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170281,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.43,769011
59170282,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.33,1685793
59170285,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.64,920651
59170286,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.85,1063124
59170287,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.99,713505
59170288,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.18,1054632
59170289,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.87,1115378
59170290,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.17,1198557
59170291,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.53,1402114
59170292,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.6,1494601
59170293,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.79,1553438
59170294,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.95,1514264
59170295,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.09,1616849
59170296,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.12,1172227
59170297,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.95,826680
59170298,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.91,980853
59170299,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.97,2272240
59170300,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.38,1261434
59170301,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.58,1612156
59170302,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.23,1842992
59170303,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.63,1486477
59170304,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.42,11899778
59170305,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.47,1650632
59170308,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.14,1959497
59170309,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.39,1559418
59170310,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.5,1021826
59170311,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.16,1190110
59170312,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.77,1035481
59170313,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.71,1653677
59170371,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.04,1029176
59170372,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.89,984319
59170373,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.74,965773
59170375,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.49,994132
59170376,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.89,1032131
59170378,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",2.08,1765680
59170383,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.48,1008114
59170384,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.55,667343
59170385,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.83,1429892
59170386,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.07,1708097
59170387,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.26,669043
59170388,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.52,904377
59170389,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.74,1037755
59170390,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.77,1346304
59170554,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.67,1526738
59170555,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.49,1592567
59170556,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.48,1638956
59170557,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.57,1757910
59170558,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.84,1734242
59170598,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.57,970445
59170600,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.42,824751
59170601,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.16,973857
59170610,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.3,1773627
59170611,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.53,878987
59170612,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.84,1408020
59170722,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.75,1046000
59170723,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.24,950552
59170806,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.8,804136
59170808,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.98,971891
59170814,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.3,891064
59170816,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.67,1287572
59170817,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.2,680343
59170819,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.45,1005417
59170820,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.8,902809
