DAUID,DA_address,Target_name,Target_address,Distance (km)
59170140,"1325 Denman St, Victoria, BC V8R 1X4",Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.4
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.42
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.48
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.5
59170141,"1270 Denman St, Victoria, BC V8T 1L8",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.26
59170141,"1270 Denman St, Victoria, BC V8T 1L8",Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.34
59170141,"1270 Denman St, Victoria, BC V8T 1L8",Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.48
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.33
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.37
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.4
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.48
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.48
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.22
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.22
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.42
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.48
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Stevenson Memorial Park,"1233 Pembroke St, Victoria, BC V8T 1J6",0.18
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.31
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Alexander Park,"2422 Oregon Ave, Victoria, BC V8R 3V8",0.43
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.46
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.47
