DAUID,Target_name,Target_address,Distance (km)
59170272,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.43
59170272,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.43
59170273,Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",0.19
59170273,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.29
59170273,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.35
59170273,Moss Rock Park,"310 Masters Rd, Victoria, BC V8S 1E1",0.44
59170273,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.46
59170273,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.46
59170274,Moss Rock Park,"310 Masters Rd, Victoria, BC V8S 1E1",0.16
59170274,Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",0.32
59170274,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.46
59170274,Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",0.38
59170274,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.46
59170275,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.36
59170275,Rockland Woodland Garden,"1059 Craigdarroch Rd, Victoria, BC V8S 2A5",0.4
59170275,Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",0.1
59170275,Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",0.17
59170275,Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",0.48
59170275,Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",0.48
59170275,Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2",0.35
59170275,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.48
59170276,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.54
59170276,Rockland Woodland Garden,"1059 Craigdarroch Rd, Victoria, BC V8S 2A5",0.4
59170277,Rockland Woodland Garden,"1059 Craigdarroch Rd, Victoria, BC V8S 2A5",0.14
59170277,The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",0.36
59170278,Rockland Woodland Garden,"1059 Craigdarroch Rd, Victoria, BC V8S 2A5",0.29
59170279,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.52
59170280,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.47
59170280,Rockland Woodland Garden,"1059 Craigdarroch Rd, Victoria, BC V8S 2A5",0.62
59170281,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.59
59170282,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.28
59170282,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.33
59170282,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.33
59170285,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.36
59170286,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.33
59170286,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.44
59170287,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.38
59170287,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.47
59170288,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.32
59170288,Moss Rock Park,"310 Masters Rd, Victoria, BC V8S 1E1",0.42
59170288,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.42
59170289,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.59
59170290,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.27
59170290,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.22
59170291,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.27
59170291,Moss Rock Park,"310 Masters Rd, Victoria, BC V8S 1E1",0.42
59170291,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.44
59170291,Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",0.41
59170291,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.46
59170292,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.35
59170292,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.35
59170292,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.4
59170293,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.35
59170293,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.24
59170294,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.26
59170294,Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",0.21
59170294,Moss Rock Park,"310 Masters Rd, Victoria, BC V8S 1E1",0.27
59170295,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.23
59170295,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.41
59170296,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.26
59170296,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.45
59170297,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.34
59170297,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.36
59170297,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.39
59170297,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.47
59170298,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.33
59170298,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.33
59170298,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.33
59170298,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.36
59170298,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.37
59170299,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.19
59170299,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.21
59170299,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.28
59170299,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.34
59170300,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.36
59170300,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.37
59170300,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.38
59170301,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.21
59170301,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.49
59170302,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.19
59170302,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.21
59170302,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.26
59170302,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.4
59170302,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.27
59170303,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.09
59170303,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.48
59170304,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.23
59170304,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.26
59170304,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.49
59170305,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.31
59170305,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.33
59170305,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.35
59170305,MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",0.5
59170308,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.2
59170308,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.23
59170308,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.48
59170309,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.12
59170309,MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",0.39
59170310,Fisherman's Wharf Park,"12 Erie St, Victoria, BC V8V 0B2",0.31
59170310,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.33
59170310,MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",0.37
59170311,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.26
59170312,MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",0.17
59170312,Fisherman's Wharf Park,"12 Erie St, Victoria, BC V8V 0B2",0.23
59170313,MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",0.21
59170313,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.41
59170313,Fisherman's Wharf Park,"12 Erie St, Victoria, BC V8V 0B2",0.44
59170313,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.46
59170371,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.3
59170371,Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1",0.36
59170371,Banfield Park,"521 Craigflower Rd, Victoria, BC V9A 2V8",0.41
59170372,Banfield Park,"521 Craigflower Rd, Victoria, BC V9A 2V8",0.2
59170373,Banfield Park,"521 Craigflower Rd, Victoria, BC V9A 2V8",0.4
59170373,Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1",0.28
59170375,Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1",0.29
59170375,Victoria West Park,"95 Bay St, Victoria, BC V9A 6X9",0.41
59170376,Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1",0.16
59170376,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.29
59170376,Victoria West Park,"95 Bay St, Victoria, BC V9A 6X9",0.47
59170378,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.2
59170378,Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1",0.4
59170383,Wark Street Park,"2575 Wark St, Victoria, BC V8T 4G7",0.68
59170383,Selkirk Green Park,"350 Waterfront Crescent, Victoria, BC V8T 5K3",0.09
59170383,Sumas Park,"530 Sumas St, Victoria, BC V8T 4S3",0.47
59170383,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.49
59170383,Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.47
59170384,Sumas Park,"530 Sumas St, Victoria, BC V8T 4S3",0.1
59170384,Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.29
