name,address
Centennial Square,"1 Centennial Square, Victoria, BC V8W 1P5"
Balfour Playlot,"Balfour Pl, Victoria, BC V9A 1R8"
Cecelia Ravine Park,"475 Burnside Rd E, Victoria, BC V8T 2X2"
Tom Arkell Trail,"Galloping Goose Trail, Victoria, BC V9A 6W5"
Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2"
Sumas Park,"530 Sumas St, Victoria, BC V8T 4S3"
Galloping Goose Trail,"395 Harbour Rd, Victoria, BC V9A 3S2"
Jackalope Meadow,"1245 Summit Ave, Victoria, BC V8T 2P9"
Cecelia Cove Park,"Victoria, BC V8T 5K7"
Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9"
Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1"
Selkirk Green Park,"350 Waterfront Crescent, Victoria, BC V8T 5K3"
Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3"
Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8"
David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4"
Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5"
Topaz Park,"Topaz Ave & Finlayson Street & Blanshard Street, Victoria, BC"
Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5"
Hillside Park,"Victoria, BC V8T 3S2"
Todd park,"Block,, 100 Niagara St, Victoria, BC V8V 1E9"
SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2"
Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1"
Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5"
Alexander Park,"Victoria, BC V8R 1Y5"
Wark Street Park,"Wark St, Victoria, BC V8T 1W7"
Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5"
Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8"
Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9"
Rockland Woodland Garden,"Joan, Craigdarroch Rd, Victoria, BC V8S 3L3"
Terrace Park,"1002 Terrace Ave, Victoria, BC V8S 3V2"
Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4"
Scurrah Green,"1580 Fort St, Victoria, BC V8S 5J2"
Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6"
Agamemnon and Eleni Kasapi Park,"1850 Leighton Rd, Victoria, BC V8R"
Stevenson Memorial Park,"Victoria, BC V8T 1J6"
Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9"
Central Park,"2275 Quadra St, Victoria, BC V8T 4C4"
Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8"
