DAUID,DA_address,Target_name,Target_address,Distance (km)
59170224,"1733 Kings Rd, Victoria, BC V8R 2N9",Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.49
59170225,"1651 Pearl St, Victoria, BC V8R 2Z2",Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38
59170225,"1651 Pearl St, Victoria, BC V8R 2Z2",Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.41
59170225,"1651 Pearl St, Victoria, BC V8R 2Z2",École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",0.48
59170226,"2646 Scott St, Victoria, BC V8R 4H9",Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.23
59170226,"2646 Scott St, Victoria, BC V8R 4H9",Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.44
59170227,"1543 Pearl St, Victoria, BC V8R 2Y8",Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.23
59170227,"1543 Pearl St, Victoria, BC V8R 2Y8",Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.31
59170227,"1546 Westall Ave, Victoria, BC V8T 2G7",Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.44
59170228,"1435 Myrtle Ave, Victoria, BC V8R 2Z5",Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.17
59170228,"1435 Myrtle Ave, Victoria, BC V8R 2Z5",Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38
59170229,"1637 Burton Ave, Victoria, BC V8T 2N5",École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",0.49
59170272,"142 Beechwood Ave, Victoria, BC V8S 3W5",Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.43
59170273,"1450 Hamley St, Victoria, BC V8S 1N1",Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.39
59170273,"339 Stannard Ave, Victoria, BC V8S 3M3",Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.24
