DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170311,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.62,1190110
59170312,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.55,1035481
59170313,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.81,1653677
59170371,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",0.74,1029176
59170372,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",0.59,984319
59170373,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",0.9,965773
59170375,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.14,994132
59170376,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.18,1032131
59170378,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.28,1765680
59170383,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.11,1008114
59170383,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.45,1008114
59170384,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.88,667343
59170385,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.82,1429892
59170386,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.44,1708097
59170387,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.28,669043
59170388,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.21,904377
59170389,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",0.86,1037755
59170390,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",0.68,1346304
59170554,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.9,1526738
59170555,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.82,1592567
59170556,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.97,1638956
59170557,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.79,1757910
59170558,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.04,1734242
59170598,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.8,970445
59170600,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.11,824751
59170601,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.02,973857
59170610,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.1,1773627
59170611,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.47,878987
59170612,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.42,1408020
59170722,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.13,1046000
59170723,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.28,950552
59170805,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.19,619204
59170805,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.36,619204
59170806,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.04,804136
59170807,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.5,1302777
59170808,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.03,971891
59170809,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.67,692965
59170810,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.49,432522
59170811,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.9,1265739
59170811,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",2.85,1265739
59170814,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",3.24,891064
59170814,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.18,891064
59170815,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.78,779350
59170816,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",0.7,1287572
59170817,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.3,680343
59170819,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.88,1005417
59170820,Gorge Vale Golf Club,"1005 Craigflower Rd, Victoria, BC V9A 1Z7",1.16,902809
