DAUID,doctors_count,downtown_count,entertainment_count,golf_count,grocery_count,hospital_count,hospitals_count,parks_count,school_count,shopping_count,university_count,waterfront_count,Residential_TotalGross_Average
59170227,3,0,1,0,0,1,5,1,2,1,0,0,774338
59170228,0,0,1,0,0,1,1,1,2,0,0,0,1077533
59170229,3,0,0,0,0,1,1,2,1,1,0,0,1313463
59170272,0,0,0,0,1,1,0,3,1,0,0,1,1531335
59170273,0,0,0,0,1,1,0,6,3,1,0,0,1390356
59170274,0,0,0,0,0,2,1,5,1,0,0,0,1354646
59170275,0,0,3,0,0,2,0,8,5,0,0,0,2250456
59170276,0,0,3,0,0,1,1,1,1,0,0,0,1296327
59170277,0,0,4,0,0,1,0,2,1,0,0,0,1603164
59170278,1,1,4,0,0,1,1,1,1,0,0,0,984172
59170279,1,1,3,0,0,1,1,0,1,0,0,0,1357393
59170280,1,1,5,0,0,1,2,1,1,0,0,0,1365597
59170281,2,1,3,0,0,1,3,0,1,0,1,0,769011
59170282,1,1,10,0,0,1,2,3,0,1,6,1,1685793
59170285,1,1,1,0,0,1,3,1,1,1,0,0,920651
59170286,1,1,1,0,0,1,4,2,0,1,0,0,1063124
59170287,1,0,1,0,0,1,4,2,1,1,0,0,713505
59170288,1,0,1,0,0,1,5,3,1,1,0,0,1054632
59170289,1,0,2,0,0,1,3,0,1,1,0,0,1115378
59170290,0,0,1,0,0,1,5,2,0,1,0,0,1198557
59170291,0,0,0,0,0,1,3,5,0,0,0,1,1402114
59170292,0,0,0,0,0,1,2,3,0,0,0,1,1494601
59170293,0,0,0,0,0,0,2,2,0,0,0,1,1553438
59170294,0,0,0,0,0,0,1,3,0,0,0,1,1514264
59170295,1,1,1,0,0,1,4,2,0,1,0,0,1616849
59170296,1,0,0,0,2,1,2,2,1,1,0,0,1172227
59170297,1,1,2,0,1,1,2,4,0,1,0,1,826680
59170298,1,1,4,0,0,0,3,5,0,2,0,1,980853
59170299,1,1,4,0,2,1,3,4,0,2,0,1,2272240
59170300,1,0,0,0,2,0,2,3,1,2,0,0,1261434
59170301,0,0,0,0,2,0,1,2,1,2,0,0,1612156
59170302,1,0,4,0,1,0,3,5,1,2,0,1,1842992
59170303,0,0,1,0,2,0,1,2,2,2,0,0,1486477
59170304,1,0,1,0,2,0,3,3,2,2,0,0,11899778
59170305,1,0,1,0,1,0,3,3,2,2,0,0,1650632
59170308,1,0,1,0,1,0,3,3,1,2,0,1,1959497
59170309,0,0,2,0,0,0,1,2,1,1,0,0,1559418
59170310,0,0,2,0,0,0,0,3,1,0,0,1,1021826
59170311,0,0,1,0,0,0,1,1,0,0,0,0,1190110
59170312,0,0,2,0,0,0,0,2,1,0,0,1,1035481
59170313,0,0,2,0,0,0,0,4,1,0,0,1,1653677
