DAUID,Target_name,Target_address,Distance (km)
59170280,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.34
59170280,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.44
59170281,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.35
59170281,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.37
59170281,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.47
59170282,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.09
59170282,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.09
59170282,Greater Victoria Public Library - Central Branch,"735 Broughton St, Victoria, BC V8W 3H2",0.13
59170282,Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",0.16
59170282,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.25
59170282,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.33
59170282,St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",0.36
59170282,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.36
59170282,The Coda,"751 View St, Victoria, BC V8W 1J9",0.36
59170282,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.45
59170285,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.32
59170286,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.14
59170287,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.15
59170288,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.31
59170289,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.34
59170289,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.36
59170290,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.28
59170291,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.6
59170292,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.68
59170293,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.87
59170294,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",1.04
59170295,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.31
59170296,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.57
59170297,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.36
59170297,St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",0.46
59170298,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.3
59170298,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.34
59170298,St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",0.35
59170298,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.36
59170298,Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",0.5
59170299,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.36
59170299,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.36
59170299,St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",0.38
59170299,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.38
59170300,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.66
59170301,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.59
59170302,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.13
59170302,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.36
59170302,St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",0.38
59170302,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.38
59170302,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.67
59170303,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.32
59170304,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.38
59170305,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.15
59170308,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.42
59170309,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.28
59170309,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.35
59170310,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.13
