DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170376,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.4,1032131
59170378,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.16,1765680
59170378,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.36,1765680
59170378,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.2,1765680
59170378,Lime Bay Park,"10 Cooperage Pl, Victoria, BC V9A 7J9",0.5,1765680
59170383,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.82,1008114
59170383,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.4,1008114
59170383,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.49,1008114
59170384,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.54,667343
59170385,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.52,1429892
59170385,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.55,1429892
59170386,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.2,1708097
59170386,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.43,1708097
59170387,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.0,669043
59170387,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.5,669043
59170388,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.3,904377
59170389,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.33,1037755
59170389,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",0.45,1037755
59170390,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.31,1346304
59170554,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.19,1526738
59170555,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",1.04,1592567
59170556,Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",1.36,1638956
59170557,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.52,1757910
59170558,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.22,1734242
59170598,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.61,970445
59170600,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.25,824751
59170601,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.25,973857
59170610,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.62,1773627
59170611,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.7,878987
59170612,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",1.82,1408020
59170722,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.38,1046000
59170722,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.43,1046000
59170722,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.48,1046000
59170723,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.43,950552
59170806,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",0.87,804136
59170808,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.04,971891
59170814,Peter Pollen Waterfront Park,"200 Belleville St., Victoria, BC V8V 1W9",0.44,891064
59170816,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.58,1287572
59170816,Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",0.08,1287572
59170817,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.42,680343
59170819,Lime Bay Park,"10 Cooperage Pl, Victoria, BC V9A 7J9",0.19,1005417
59170819,Songhees Beach,"60 Songhees Walkway, Victoria, BC V9A 0A3",0.25,1005417
59170819,Songhees Park,"49 Songhees Rd, Victoria, BC V9A 7J4",0.32,1005417
59170819,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.47,1005417
59170819,Victoria Harbour Ferry - Dockside Green,"387 Harbour Rd, Victoria, BC V9A 3S2",0.49,1005417
59170820,Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",0.44,902809
59170820,Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1",0.1,902809
59170820,Mary Street Park,"400 Milne St, Victoria, BC V9A 3X1",0.29,902809
