DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170181,Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.28,1034612
59170197,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.87,1344632
59170198,Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.63,1186784
59170199,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.35,1330660
59170199,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35,1330660
59170200,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.83,1457357
59170200,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.82,1457357
59170201,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.72,1862585
59170201,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.61,1862585
59170202,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.46,1550804
59170203,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.37,1300673
59170204,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.81,1727751
59170224,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.51,732699
59170225,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.87,1138123
59170226,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.4,1003121
59170227,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.05,774338
59170228,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.93,1077533
59170229,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.49,1313463
59170272,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.46,1531335
59170273,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.34,1390356
59170274,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.6,1354646
59170275,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.74,2250456
59170275,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.51,2250456
59170276,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.01,1296327
59170276,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.97,1296327
59170277,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.98,1603164
59170277,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.84,1603164
59170278,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.79,984172
59170279,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.62,1357393
59170280,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.81,1365597
59170281,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.6,769011
59170282,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.93,1685793
59170285,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.97,920651
59170286,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.17,1063124
59170286,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.17,1063124
59170287,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.25,713505
59170288,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.09,1054632
59170289,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.04,1115378
59170290,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.08,1198557
59170290,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.27,1198557
59170291,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.0,1402114
59170292,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.23,1494601
59170292,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.29,1494601
59170293,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.28,1553438
59170293,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.21,1553438
59170294,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.83,1514264
59170295,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.02,1616849
59170296,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.42,1172227
59170296,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.49,1172227
59170297,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.49,826680
59170298,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.51,980853
59170299,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.46,2272240
59170299,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.32,2272240
59170300,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.15,1261434
59170300,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.27,1261434
59170301,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.17,1612156
59170301,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.3,1612156
59170302,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.52,1842992
59170302,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.22,1842992
59170303,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.28,1486477
59170303,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.46,1486477
59170304,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.05,11899778
59170304,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.37,11899778
59170305,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.24,1650632
59170308,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.37,1959497
59170309,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.53,1559418
59170310,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.76,1021826
59170311,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.7,1190110
59170312,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.85,1035481
59170313,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.64,1653677
59170371,Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",0.32,1029176
59170372,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.5,984319
59170372,Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",0.41,984319
59170373,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.3,965773
59170373,Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",0.48,965773
59170375,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.03,994132
59170376,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.43,1032131
59170378,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.64,1765680
59170378,Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",0.58,1765680
59170383,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.68,1008114
59170383,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",0.88,1008114
59170384,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.89,667343
59170385,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",1.11,1429892
59170386,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",1.18,1708097
59170387,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",1.17,669043
59170388,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",1.33,904377
59170389,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",1.21,1037755
59170390,The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",1.08,1346304
59170390,Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",0.98,1346304
59170554,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.25,1526738
59170555,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.21,1592567
59170556,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.65,1638956
59170557,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.42,1757910
59170557,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.45,1757910
59170558,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.51,1734242
