DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170295,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.82,1616849
59170296,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.48,1172227
59170297,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.54,826680
59170298,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.59,980853
59170298,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.59,980853
59170299,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.52,2272240
59170300,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.16,1261434
59170301,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.12,1612156
59170302,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.48,1842992
59170303,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.28,1486477
59170303,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.35,1486477
59170304,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.17,11899778
59170304,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.39,11899778
59170305,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.17,1650632
59170305,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.38,1650632
59170308,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.4,1959497
59170309,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.25,1559418
59170310,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.42,1021826
59170311,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.54,1190110
59170312,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.46,1035481
59170313,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.27,1653677
59170371,Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",0.36,1029176
